name genre developer rating
Minecraft Acción "Mojang Studios" "E"
Cobalt Acción "Mojang Studios" "E"
Fortnite "Shooter" "Epic Games" "T"
"Counter-Strike 2" "Shooter" Valve "M"
"League of Legends" MOBA "Riot Games" "T"
"Grand Theft Auto V" Acción "Rockstar North" "M"
"Call of Duty: Black Ops 6" "Shooter" Treyarch "M"
"Half-Life" "Shooter" Valve "M"
"Team Fortress" "Shooter" Valve "M"
